Etunimi,Lukumäärä
Aliina,"2,167"
Lilian,"2,161"
Wilma,"2,084"
Heta,"2,076"
Christine,"2,063"
Rita,"2,063"
Hanne,"2,046"
Vera,"2,029"
Carolina,"2,023"
Liina,"1,994"
Erica,"1,989"
Tuire,"1,988"
Taija,"1,987"
Elsi,"1,981"
Rebekka,"1,980"
Sofie,"1,974"
Carola,"1,960"
Frida,"1,955"
Minja,"1,949"
Melina,"1,937"
Varpu,"1,935"
Adalmiina,"1,933"
Lisa,"1,933"
Monika,"1,914"
Reeta,"1,912"
Helli,"1,895"
Carina,"1,891"
Maisa,"1,871"
Salli,"1,864"
Heljä,"1,858"
Moona,"1,851"
Solveig,"1,850"
Iisa,"1,837"
Patricia,"1,828"
Eini,"1,826"
Reija,"1,823"
Helga,"1,821"
Mette,"1,806"
Amelia,"1,805"
Karolina,"1,800"
Elin,"1,796"
Hellin,"1,793"
Brita,"1,787"
Riitta-Liisa,"1,787"
Susan,"1,767"
Tilda,"1,764"
Charlotte,"1,753"
Vivian,"1,753"
Miina,"1,748"
Mariia,"1,747"
Seela,"1,747"
Säde,"1,747"
Janna,"1,742"
Lena,"1,740"
Mirella,"1,739"
Henrietta,"1,719"
Inger,"1,718"
Viktoria,"1,710"
Kaisla,"1,707"
Kia,"1,682"
Anna-Kaisa,"1,680"
Selina,"1,650"
Kerstin,"1,647"
Marja-Terttu,"1,640"
Marleena,"1,632"
Harriet,"1,624"
Sointu,"1,619"
Aura,"1,618"
Jasmine,"1,609"
Titta,"1,603"
Taika,"1,596"
Elle,"1,582"
Pirita,"1,581"
Miisa,"1,574"
Laina,"1,548"
Lyyli,"1,547"
Valpuri,"1,540"
Helene,"1,535"
Saima,"1,532"
Jasmiina,"1,529"
Ninni,"1,525"
Kiira,"1,509"
Stina,"1,504"
Raisa,"1,498"
Wilhelmina,"1,488"
Annette,"1,483"
Ira,"1,464"
Rebecca,"1,463"
Tuovi,"1,454"
Ursula,"1,447"
Else,"1,446"
Elvira,"1,438"
Veronica,"1,438"
Leea,"1,437"
Pilvi,"1,429"
Ingegerd,"1,428"
Greta,"1,427"
Helen,"1,421"
Kirsi-Marja,"1,415"
Martina,"1,410"
Tia,"1,403"
Siviä,"1,399"
Mariitta,"1,396"
Erin,"1,382"
Anna-Mari,"1,374"
Justiina,"1,373"
Rakel,"1,372"
Diana,"1,363"
Enna,"1,362"
Eleonora,"1,359"
Iines,"1,357"
Kanerva,"1,356"
Saaga,"1,353"
Marja-Riitta,"1,347"
Benita,"1,339"
Eleonoora,"1,338"
Berit,"1,326"
Mea,"1,326"
Terhikki,"1,319"
Agneta,"1,314"
Yvonne,"1,311"
Siru,"1,310"
Thi,"1,307"
Henni,"1,297"
Hanna-Leena,"1,286"
Evelina,"1,284"
Lumia,"1,277"
Beatrice,"1,276"
Lovisa,"1,276"
Ann-Mari,"1,266"
Barbro,"1,261"
Hanna-Mari,"1,259"
Fredrika,"1,256"
Anna-Leena,"1,243"
Hely,"1,243"
Magdalena,"1,236"
Henrika,"1,235"
Anne-Maria,"1,222"
Ava,"1,216"
Janica,"1,210"
Mailis,"1,207"
Amelie,"1,204"
Elizabeth,"1,202"
Juuli,"1,198"
Siv,"1,194"
Valma,"1,194"
Malin,"1,192"
Iita,"1,189"
Tina,"1,184"
Inna,"1,181"
Raila,"1,181"
Liisi,"1,177"
Kaarin,"1,173"
Lina,"1,169"
Maj-Britt,"1,167"
Madeleine,"1,166"
Ann,"1,150"
Neela,"1,144"
Aida,"1,142"
Mathilda,"1,140"
Fiona,"1,133"
Sohvi,"1,129"
Kirsikka,"1,128"
Svetlana,"1,126"
Caroline,"1,123"
Anne-Marie,"1,120"
Sarita,"1,107"
Sarah,"1,096"
Adeliina,"1,094"
Miranda,"1,094"
Pirkko-Liisa,"1,091"
Bertta,"1,087"
Valentina,"1,087"
Alva,"1,082"
Marjo-Riitta,"1,082"
Serafiina,"1,080"
Auroora,"1,074"
Aurelia,"1,070"
Mariella,"1,069"
Felicia,"1,067"
Milka,"1,067"
Peppiina,"1,067"
Tinja,"1,066"
Paulina,"1,063"
Luna,"1,060"
Vanamo,"1,059"
Aamu,"1,058"
Edit,"1,058"
Virva,"1,051"
Vellamo,"1,049"
Nanna,"1,045"
Riia,"1,039"
Michaela,"1,038"
Lilia,"1,033"
Ebba,"1,028"
Kira,"1,023"
Natalie,"1,023"
Sabina,"1,018"
Mimmi,"1,005"
Milena,"1,002"
Gunvor,992
Sanna-Mari,992
Ansa,985
Maija-Leena,985
Tessa,982
Elna,975
Annamari,968
Mohamed,968
Teresia,967
Silvia,966
Ellinoora,961
Alissa,951
Gunnel,950
Vilhelmina,949
Tatiana,945
Ruut,940
Sophie,939
Janni,938
Marlene,938
Miriam,938
Ruth,938
Signe,935
Isa,934
Sofi,933
Nadja,930
Verna,929
Gun,927
Margareetta,919
Maarika,917
Beata,912
Åsa,911
Nicole,909
Ines,906
Lila,900
Livia,895
Annu,894
Kerttuli,894
Juliaana,892
Suoma,892
Nelly,886
Hanna-Kaisa,885
Jennifer,881
Katrina,870
Juliana,865
Sophia,865
Veronika,865
Minka,862
Unna,862
Julianna,861
Claudia,854
Meea,853
Stiina,853
Jatta,852
Jessika,849
Pipsa,849
Maj-Lis,843
Margareeta,836
Annastiina,833
Ilmi,833
Emily,830
Nuppu,825
Agnes,822
Aina,820
Viena,820
Lemmikki,818
Micaela,817
Lisbeth,814
Ina,810
Nita,810
Emelie,808
Doris,804
Maya,804
Michelle,802
Minni,802
Rea,795
Angelica,794
Bettina,794
Elea,793
Annikka,789
Kielo,788
Minerva,788
Melinda,787
Malla,785
Tatjana,781
Mary,774
Alicia,770
Synnöve,762
Ekaterina,756
Kastehelmi,752
Josefin,751
Lucia,750
Soilikki,749
Impi,745
Ida-Maria,733
Nathalie,733
Mirkka,732
Britta,729
Gabriella,728
Kukka-Maaria,728
Kukka,727
Dagmar,726
Maj,718
Merita,717
Andrea,713
Jasmina,713
Bea,710
Serafia,708
Jeanette,706
Christel,704
Josefine,702
Ilse,700
Catharina,698
Adelina,691
Christa,687
Hanna-Maria,687
Tove,686
Saini,685
Edla,682
Eedit,682
Emilie,675
Siri,674
Mai,673
Lily,669
Selja,667
Tamara,666
Rosita,664
Marju,663
Rose,663
Emmiina,660
Mariel,660
Jane,659
Ann-Marie,655
Isabelle,655
Eeva-Maria,649
Eivor,647
Rosanna,647
Viveka,643
Sigrid,642
Kaino,640
Pirjo-Riitta,639
Rebecka,638
Therese,638
Anne-Maj,636
Linn,633
Antonia,631
Tara,630
Eve,629
Ahmed,624
Marian,624
Elmiina,621
Terese,620
Larissa,619
Ria,617
Sarianna,614
Leona,612
Anna-Sofia,610
Ramona,609
Jelena,604
Milana,604
Angelina,601
Jenniina,601
Cristina,600
Adelia,599
Jannika,596
Siina,595
Catarina,594
Ireene,592
Anne-Maarit,588
Eriika,586
Ritva-Liisa,586
Ottilia,583
Fiia,580
Sinna,580
Iida-Maria,579
Briitta,578
Mariana,570
Hellä,565
Lili,565
Galina,564
Marit,559
Adessa,558
Magdaleena,556
My,554
Susann,554
Lara,553
Lenita,552
Noomi,552
Silva,549
Henna-Riikka,547
Pirjo-Liisa,543
Eija-Liisa,539
Sirja,536
Annemari,533
Karina,530
Augusta,528
Inga-Lill,528
Svea,528
Angela,522
Kristine,522
Viveca,519
Bella,517
Serafina,517
Hulda,514
Tua,513
Märta,511
Ruusu,508
Liinu,503
Ali,502
Ulpu,502
Ulriikka,502
Yasmin,501
Soila,500
Pernilla,499
Alise,497
Sade,496
Eeva-Maija,494
Ilta,494
Marikki,494
Ann-Christine,491
Sani,491
Sanna-Kaisa,487
Kreetta,486
Margaret,485
Meiju,479
Amina,478
Sanna-Maria,477
Marissa,476
Pamela,476
Lidia,475
Lisbet,474
May,471
Hanneli,469
Mari-Anne,469
Ellinor,468
Clara,465
Else-Maj,463
Teea,460
Roosa-Maria,457
Maili,452
Mariaana,450
Karla,448
Cassandra,446
Aleksiina,445
Hannamari,444
Nana,443
Assi,441
Aallotar,440
Annica,440
Maja,439
Ingegärd,438
Mariam,438
Petriina,434
Margita,431
Carmen,429
Louna,426
Angelika,425
Estelle,425
Valeria,425
Ann-Christin,423
Mandi,423
Evelyn,422
Moa,422
Hannah,418
Gun-Britt,417
Margarita,417
Samira,417
Tuulevi,417
Abdi,415
Catherine,414
Hedvig,411
Lumina,411
Riika,411
Usva,411
Fatima,410
Marjanne,410
Alexsandra,409
Bianca,408
Leeni,407
Gunhild,402
Kamilla,402
Vivi,402
Jadessa,401
Britt-Marie,400
Gabriela,400
Meri-Tuuli,400
Aisha,398
Marica,398
Kreeta,397
Anna-Lisa,395
Lumikki,395
Henriika,393
Annie,391
Katrin,391
Klaudia,391
Hanna-Maija,389
Katharina,389
Mariela,389
Iitu,388
Evelin,387
Kirsi-Maria,387
Mariann,387
Naomi,387
Nenna,387
Odessa,387
Theresa,387
Esther,385
Britt,384
Ann-Sofi,382
Kristin,382
Hellen,381
Tiia-Maria,381
Mirja-Liisa,376
Sarianne,376
Maj-Len,375
Miira,375
Jarna,374
Jennika,374
Filippa,373
Gretel,373
Kustaava,373
Lauriina,373
Erna,367
Ruusa,366
Hilppa,365
Ulriika,365
Vaula,364
Merituuli,363
Hassan,362
Leena-Maija,362
Raija-Liisa,362
Sabrina,362
Minna-Liisa,361
Rianna,361
Ainikki,360
Barbara,360
Josephine,359
Lilly,359
Ninja,357
Melisa,355
Mielikki,355
Adéle,353
Carla,353
Sonia,353
Eden,352
Lia,349
Raita,349
Evita,348
Desiree,347
Hillervo,347
Rut,347
Armiida,346
Valborg,346
Sofianna,344
Annabella,343
Anri,343
Lemmitty,343
Rosa-Maria,340
Grace,338
Alexia,337
Gerd,337
Freja,336
Göta,336
Susa,336
Ann-Sofie,334
Kajsa,334
Jenina,332
Klara,331
Thea,331
Ethel,330
Jessi,329
Amira,328
Ilma,328
Sanja,328
Illusia,327
Suvi-Tuuli,327
Aniitta,325
Eriikka,325
Nadia,325
Eva-Maria,323
Ragnhild,323
Evi,321
Eeva-Leena,320
Henriette,320
Gertrud,318
Ann-Charlotte,317
Adalmina,316
Marisa,316
Adina,315
Auri,314
Anna-Lena,313
Arja-Liisa,312
Denise,312
Liia,312
Maia,312
Margetta,312
Evelia,311
Maikki,311
Miila,311
Ylva,311
Natasha,309
Selena,308
Aino-Maria,307
Eeva-Kaisa,306
Elmi,306
Anna-Kaarina,305
Eeva-Riitta,305
Alessia,304
Lyyti,301
Zahra,301
Annaliisa,300
Maryam,300
Maija-Riitta,299
Karelia,298
Klaara,298
Petronella,298
Sienna,298
Hildegard,297
Janniina,297
Malviina,297
Salla-Mari,297
Marke,296
Pauline,296
Auni,295
Maini,295
Salma,295
Annamaria,294
Abdullahi,292
Disa,292
Nette,292
Laimi,291
Minnea,291
Caroliina,290
Celina,289
Daria,289
Emelia,289
Hanna-Riikka,289
Suvi-Tuulia,289
Jannica,288
Lillemor,288
Marie-Louise,288
Theresia,288
Hanna-Liisa,287
Jennie,287
Anna-Riitta,286
Gunborg,285
Janet,285
Anna-Riikka,283
Hjördis,283
Jolanda,283
Lotte,283
Mariina,283
Rose-Marie,283
Seidi,283
Tiiu,283
Hanni,282
Kaija-Leena,281
Ksenia,281
Elli-Noora,280
Isabell,280
Marietta,280
Pieta,280
Sissi,280
Judith,279
Arla,276
Alviina,275
Martha,273
Ann-Kristin,272
Arja-Leena,272
Dina,272
Eleanor,271
Leonora,271
Marion,271
Myy,271
Simone,271
Stephanie,269
Eeva-Kaarina,268
Kim,268
Belinda,267
Clarissa,267
Karola,267
Sirke,267
Ninna,266
Rosaliina,265
Salome,265
Aino-Maija,262
Armida,262
Annakaisa,260
Desiré,260
Melanie,260
Etel,259
Telma,259
Meimi,258
Nancy,258
Julie,257
Tekla,257
Ngoc,254
Tilde,254
Anastacia,253
Adriana,252
Sirpa-Liisa,252
Hellikki,251
Molly,251
Ulrica,251
Solja,250
Minna-Maria,248
Ilmatar,247
Malena,247
Estella,246
Sally,246
Fia,245
Juliet,244
Kaija-Liisa,244
Leni,244
Larisa,242
Ingela,240
Sannamari,240
Tinka,240
Annamaija,239
Emmy,239
Riitta-Leena,239
Gunnevi,238
Helle,238
Pia-Maria,238
Ingalill,237
Karen,237
Viliina,237
Ann-Louise,236
Desirée,236
Margot,236
Pirjetta,236
Sanna-Maija,235
Severiina,235
Valdine,235
Bodil,234
Noona,234
Alessandra,233
Ann-Britt,232
Bernice,232
Anitra,231
Esmeralda,231
Gudrun,231
Merja-Liisa,231
Jana,229
Ulla-Riitta,228
Vadelma,228
Majlis,227
Nicola,227
Kristel,226
Liana,226
Meri-Tuulia,226
Antonina,225
Gurli,225
Pilvikki,225
Rachel,225
Christin,224
Manta,224
Thuy,224
Heidi-Maria,223
Reea,223
Vivan,223
Adolfiina,222
Marta,222
Iia,221
Anne-Maija,220
Katerina,219
Nadezda,218
Tia-Maria,217
Ariel,216
Carin,216
Piitu,216
Venny,216
Amy,215
Ani,215
Alexa,214
Mercedes,214
Milma,214
Tindra,213
Yasmine,212
Alla,211
Cindy,211
Sallamari,211
Tarleena,211
Betty,210
Satu-Maarit,210
Li,209
Liudmila,209
Mimi,209
Polina,209
Viia,209
Ana,208
Annabel,208
Rosalia,208
Seliina,208
Suvituuli,208
Judit,207
Sanna-Leena,207
Bettiina,206
Daniella,206
Eija-Riitta,206
Ella-Maria,206
Maria-Liisa,206
Liv,205
Sina,205
Anni-Maria,204
Kiti,204
Minna-Mari,203
Santra,203
Thanh,203
Jasmi,202
Katinka,202
Crista,201
Gerda,201
Mei,201
Marjaleena,200
Juliette,199
Marija,198
Saskia,198
Elizaveta,197
Annaleena,196
Dagny,196
Eliisabet,196
Lyydi,196
Serena,196
Ulla-Britt,196
Thu,195
Anne-Marja,194
Hille,194
Milaja,193
Mina,193
Nicolina,193
Inga-Britt,192
Tanya,192
Nova,191
Ida-Sofia,190
Nanni,190
Seelia,189
Sabine,188
Joy,187
Omar,187
Suvi-Päivikki,187
Thelma,186
Elsie,185
Ihanelma,185
Katri-Helena,185
Merike,185
Neelia,185
Tiitu,185
Eedla,184
Iira,184
Riitta-Maija,184
Elissa,183
Saida,183
Tatjaana,183
Tuisku,183
Halla,182
Jekaterina,182
Nia,182
Ariana,180
Desire,180
Kaisa-Leena,180
Yulia,180
Elida,179
Ia,179
Freya,178
Hilpi,178
Matintytär,178
Märtha,178
Rina,178
Sarlotta,178
Eelin,177
Hussein,177
Nellie,177
Ibrahim,176
Lisen,176
Phuong,176
Sesilia,176
Anh,175
Cia,175
Liliana,175
Tania,175
Ljudmila,174
Markit,174
Beda,172
Jenita,172
Malva,172
Tiina-Liisa,172
Cornelia,171
Estrid,171
Katherine,171
Tyyni,171
Vilina,171
Mohammed,170
Vivia,170
Ann-Maj,169
Ranja,169
Tarja-Leena,169
Hannaleena,168
Jennica,168
Wenla,168
Dolores,167
Mahamed,167
Maria-Leena,167
Mariette,167
Raija-Leena,167
Samantha,167
Britt-Mari,166
Sara-Sofia,166
Adela,165
Eevastiina,165
Eufemia,165
Fadumo,165
Francesca,165
Lisette,165
Pepita,165
Rosalie,165
Celine,164
Maari,164
Sanna-Liisa,164
Abigail,163
Antintytär,163
Henna-Maria,163
Kaneli,163
Marinka,163
Mohamud,163
Amélie,161
Ellida,161
Kastanja,161
Mia-Maria,161
Anna-Stina,160
Lola,160
Kaisa-Maria,158
Marilla,158
Niia,158
Nilla,158
Ofelia,158
Pulmu,158
Dana,157
Helén,157
Irinja,157
Pirjo-Leena,157
Ellie,156
Kata,156
Miia-Maria,156
Ruska,156
Sivi,156
Janessa,155
Onneli,155
Pälvi,155
Eleanora,154
Eva-Liisa,154
Mirette,154
Abdirahman,153
Anna-Elina,153
Friida,153
Gisela,153
Marikka,153
Virginia,153
Aino-Kaisa,152
Aletta,152
Miitta,152
Salla-Maria,152
Eliana,151
Laura-Maria,151
Merika,151
Milla-Maria,151
Oksana,151
Ragni,151
Safia,151
Tarja-Liisa,151
Elice,150
Katrine,150
Leia,150
Cesilia,149
Christiina,149
Dorothea,149
Isadora,149
Nikita,149
Fiina,148
Janiina,148
Jannina,148
Jenni-Maria,148
Lillian,148
Linne,148
Marjaliisa,148
Tiia-Mari,148
Albertiina,147
Inez,147
Inge,147
Louisa,147
Anna-Reetta,146
Leah,146
Luisa,146
Marttiina,146
Renja,146
Darja,145
Ilana,145
Jennina,145
Moonika,145
Nina-Maria,145
Nur,145
Cilla,144
Saara-Maria,144
Therése,144
Tiina-Maija,144
Alida,143
Ann-Lis,143
Hanne-Mari,143
Iréne,143
Kiara,143
Leena-Kaisa,143
Anna-Kristiina,142
Antoinette,142
Dorrit,142
Emeliina,142
Enne,142
Iman,142
Menni,142
Anceliga,141
Enja,141
Liisa-Maria,141
Milda,141
Selene,141
Zainab,141
Alena,140
Daisy,140
Farah,140
Hilkka-Liisa,140
Marielle,140
Mikontytär,140
Alyssa,139
Emili,139
Nelma,139
Safira,139
Tilma,139
Ulla-Maria,139
Xenia,139
Annelie,138
Hildur,138
Juni,138
Mari-Ann,138
Marja-Sisko,138
Suzanne,138
Taiga,138
Dora,137
Eimi,137
Ewa,137
Lauha,137
Alinda,136
Evgenia,136
Hedda,136
Inge-Maj,136
Leyla,136
Nadine,136
Peppina,136
Senna,136
Adalia,135
Anisa,135
Anna-Emilia,135
Danielle,135
Madelene,135
Natalja,135
Anna-Marja,134
Iida-Sofia,134
Rafaela,134
Timontytär,134
Gun-Maj,133
Juhantytär,133
Lee,133
Manuela,133
Marjetta,133
Riikka-Liisa,133
Runa,133
Tuike,133
Tyra,133
Adeline,132
Arina,132
Mari-Anna,132
Oxana,132
Suometar,132
Ulla-Maj,132
Alvina,131
Aniita,131
Celia,131
Ona,131
Yusuf,131
Eeva-Marja,130
Hong,130
Irena,130
Marlena,130
Noelle,130
Nonna,130
Paola,130
Abdulkadir,129
Annariina,129
Seija-Liisa,129
Kaur,128
Linea,128
Nona,128
Suvi-Maria,128
Emiilia,127
Gloria,127
Greetta,127
Linda-Maria,127
Lulu,127
Lynn,127
Majvor,127
Maud,127
Nanette,127
Paloma,127
Satu-Maria,127
Sera,127
Kate,126
Maarita,126
Mareena,126
Paju,126
Aline,125
Amal,125
Fransiina,125
Jemiina,125
Mianna,125
Liubov,124
Maj-Gret,124
Ritva-Leena,124
Tiina-Maria,124
Carolin,123
Engla,123
Kitty,123
Linh,123
Lumikukka,123
Pirre,123
Anja-Riitta,122
Ann-Katrin,122
Oosa,122
Rhea,122
Sarina,122
Elinor,121
Henna-Mari,121
Ludmila,121
Marlen,121
Ringa,121
Mirikli,120
Nitta,120
Ros-Mari,120
Sylva,120
Lioudmila,119
Monna,119
Pirkitta,119
Tiina-Mari,119
Annastina,118
Arianna,118
Ghita,118
Henrica,118
Sharon,118
Vendela,118
Yrsa,118
Zara,118
Ainu,117
Anna-Maaria,117
Anna-Stiina,117
Denice,117
Kaisa-Liisa,117
Khadija,117
Maijastiina,117
Norma,117
Violetta,117
Rauna,116
Sahra,116
Agda,115
Celeste,115
Elif,115
Heloisa,115
Mathilde,115
Merja-Riitta,115
Sira,115
Sirje,115
Tiuku,115
Vilmiina,115
Charlott,114
Florence,114
Manda,114
Maritza,114
Vivi-Ann,114
Claire,113
Eea,113
Elliina,113
Peggy,113
Rania,113
Renata,113
Rigmor,113
Sallamaari,113
Vanilla,113
Vienna,113
Violet,113
Aurinko,112
Ea,112
Jetta,112
Lise,112
Alfhild,111
Anna-Karin,111
Emilja,111
Fredriika,111
Jasmiini,111
Mirja-Leena,111
Noor,111
Osman,111
