"Postal code area","Inhabitants, total, 2018 (HE)","Males, 2018 (HE)","Females, 2018 (HE)"
"00580  Verkkosaari (Helsinki)",2945,1417,1528
"00590  Kaitalahti (Helsinki)",1956,857,1099
"00600  Koskela-Helsinki (Helsinki)",4153,1938,2215
"00610  Käpylä (Helsinki)",8166,3610,4556
"00620  Metsälä-Etelä-Oulunkylä (Helsinki)",3285,1525,1760
"00630  Maunula-Suursuo (Helsinki)",8309,3897,4412
"00640  Oulunkylä-Patola (Helsinki)",8185,3831,4354
"00650  Veräjämäki (Helsinki)",4276,2034,2242
"00660  Länsi-Pakila (Helsinki)",6646,3287,3359
"00670  Paloheinä (Helsinki)",5989,2938,3051
"00680  Itä-Pakila (Helsinki)",3663,1841,1822
"00690  Tuomarinkylä-Torpparinmäki (Helsinki)",2773,1362,1411
"00700  Malmi (Helsinki)",13359,6360,6999
"00710  Pihlajamäki (Helsinki)",12691,5996,6695
"00720  Pukinmäki-Savela (Helsinki)",8770,4027,4743
"00730  Tapanila (Helsinki)",11270,5373,5897
"00740  Siltamäki (Helsinki)",10494,5118,5376
"00750  Puistola (Helsinki)",9630,4665,4965
"00760  Suurmetsä (Helsinki)",7644,3757,3887
"00770  Jakomäki - Alppikylä (Helsinki)",7506,3646,3860
"00780  Tapaninvainio (Helsinki)",6963,3379,3584
"00790  Viikki (Helsinki)",11114,5180,5934
"00800  Länsi-Herttoniemi (Helsinki)",7319,3390,3929
"00810  Herttoniemi (Helsinki)",11631,5468,6163
"00820  Roihuvuori (Helsinki)",7389,3501,3888
"00830  Tammisalo (Helsinki)",2255,1086,1169
"00840  Laajasalo (Helsinki)",8233,3773,4460
"00850  Jollas (Helsinki)",3148,1565,1583
"00860  Santahamina (Helsinki)",387,212,175
"00870  Etelä-Laajasalo (Helsinki)",6233,2867,3366
"00880  Roihupellon teollisuusalue (Helsinki)",741,355,386
"00890  Östersundom (Helsinki)",1944,974,970
"00900  Puotinharju (Helsinki)",4258,2032,2226
"00910  Puotila (Helsinki)",5849,2715,3134
"00920  Myllypuro (Helsinki)",13756,6646,7110
"00930  Itäkeskus-Marjaniemi (Helsinki)",6794,3220,3574
"00940  Kontula - Vesala (Helsinki)",26010,12536,13474
"00950  Vartioharju (Helsinki)",6060,2973,3087
"00960  Pohjois-Vuosaari (Helsinki)",7192,3476,3716
"00970  Mellunmäki (Helsinki)",10637,5010,5627
"00980  Etelä-Vuosaari (Helsinki)",23183,10764,12419
"00990  Aurinkolahti (Helsinki)",8587,3982,4605
"01120  Västerskog (Sipoo)",1412,747,665
"01150  Söderkulla (Sipoo)",5900,2949,2951
"01180  Kalkkiranta (Porvoo)",455,234,221
"01190  Box (Sipoo)",1026,503,523
"01200  Hakunila (Vantaa)",12195,6027,6168
"01230  Vaarala (Vantaa)",2971,1505,1466
"01260  Itä-Hakkila (Vantaa)",4870,2476,2394
"01280  Länsimäki (Vantaa)",9699,4793,4906
"01300  Tikkurila (Vantaa)",20713,10017,10696
"01340  Leinelä (Vantaa)",2095,948,1147
"01350  Hiekkaharju (Vantaa)",10261,5032,5229
"01360  Koivukylä-Havukoski (Vantaa)",12037,5944,6093
"01370  Jokiniemi (Vantaa)",6605,3197,3408
"01380  Kuusikko-Hakkila (Vantaa)",1950,965,985
"01390  Ruskeasanta-Ilola (Vantaa)",9159,4571,4588
"01400  Rekola (Vantaa)",8917,4350,4567
"01420  Päiväkumpu (Vantaa)",3219,1662,1557
"01450  Korso (Vantaa)",18193,9141,9052
"01480  Mikkola (Vantaa)",6382,3207,3175
"01490  Nikinmäki (Vantaa)",4314,2160,2154
"01510  Kirkonkylä-Veromäki (Vantaa)",6395,3214,3181
"01520  Tammisto (Vantaa)",7758,3744,4014
"01530  Veromiehenkylä (Vantaa)",627,347,280
"01600  Myyrmäki (Vantaa)",17467,8345,9122
"01610  Kaivoksela (Vantaa)",5326,2700,2626
"01620  Martinlaakso (Vantaa)",12462,6099,6363
"01630  Hämeenkylä (Vantaa)",2073,1009,1064
"01640  Hämevaara (Vantaa)",3424,1718,1706
"01650  Vapaala (Vantaa)",4088,2086,2002
"01660  Varisto (Vantaa)",2317,1131,1186
"01670  Vantaanlaakso (Vantaa)",2844,1432,1412
"01680  Askisto (Vantaa)",2078,1043,1035
"01690  Ylästö (Vantaa)",4820,2411,2409
"01700  Kivistö (Vantaa)",8085,3983,4102
"01710  Pähkinärinne (Vantaa)",5092,2474,2618
"01720  Petikko (Vantaa)",62,34,28
"01730  Vantaanpuisto (Vantaa)",2636,1370,1266
"01740  Tuupakan teollisuusalue (Vantaa)",201,108,93
"01750  Keimola (Vantaa)",844,429,415
"01760  Seutula (Vantaa)",2051,1052,999
"01770  Martinlaakson teollisuusalue (Vantaa)",0,0,0
"01800  Klaukkala Keskus (Nurmijärvi)",9076,4437,4639
"01810  Luhtajoki (Nurmijärvi)",683,353,330
"01820  Haikala (Nurmijärvi)",3336,1630,1706
"01830  Lepsämä (Nurmijärvi)",2419,1239,1180
"01840  Klaukkala (Nurmijärvi)",3991,1976,2015
"01860  Perttula (Nurmijärvi)",2073,1079,994
"01900  Nurmijärvi Keskus (Nurmijärvi)",8953,4428,4525
"01940  Palojoki (Nurmijärvi)",781,393,388
"02100  Tapiola (Espoo)",5193,2465,2728
"02110  Otsolahti (Espoo)",2779,1353,1426
"02120  Länsikorkee-Suvikumpu (Espoo)",2768,1373,1395
"02130  Pohjois-Tapiola (Espoo)",6354,3121,3233
"02140  Laajalahti (Espoo)",3711,1876,1835
"02150  Otaniemi (Espoo)",3749,2548,1201
"02160  Westend (Espoo)",3124,1544,1580
"02170  Haukilahti (Espoo)",5671,2702,2969
"02180  Mankkaa (Espoo)",6899,3381,3518
"02200  Niittykumpu (Espoo)",8750,4308,4442
"02210  Olari (Espoo)",11500,5526,5974
"02230  Matinkylä (Espoo)",21773,10512,11261
"02240  Friisilä (Espoo)",2316,1155,1161
"02250  Henttaa (Espoo)",4623,2239,2384
"02260  Kaitaa (Espoo)",3732,1818,1914
"02270  Finnoo-Eestinmalmi (Espoo)",2206,1110,1096
"02280  Malminmäki-Eestinlaakso (Espoo)",4440,2208,2232
"02290  Puolarmetsän sairaala (Espoo)",3,...,...
"02300  Nöykkiönpuro (Espoo)",2575,1284,1291
"02320  Espoonlahti (Espoo)",16489,7844,8645
"02330  Saunalahti-Kattilalaakso (Espoo)",10069,4971,5098
"02340  Latokaski (Espoo)",4982,2471,2511
"02360  Soukka (Espoo)",9918,4842,5076
"02380  Suvisaaristo (Espoo)",649,332,317
"02390  Sarvvik (Kirkkonummi)",603,288,315
"02400  Kirkkonummi Keskus (Kirkkonummi)",12388,5986,6402
"02410  Gesterby (Kirkkonummi)",1996,1050,946
"02420  Jorvas (Kirkkonummi)",1784,894,890
"02430  Masala (Kirkkonummi)",4385,2155,2230
"02440  Luoma (Kirkkonummi)",599,294,305
"02450  Sundsberg (Kirkkonummi)",2126,1029,1097
"02460  Kantvik (Kirkkonummi)",1782,920,862
"02470  Upinniemi (Kirkkonummi)",265,144,121
"02480  Porkkala (Kirkkonummi)",4542,2327,2215
"02490  Pikkala (Siuntio)",303,171,132
"02510  Oitmäki (Kirkkonummi)",465,243,222
"02520  Lapinkylä (Kirkkonummi)",795,402,393
"02540  Kylmälä (Kirkkonummi)",618,303,315
"02550  Evitskog (Kirkkonummi)",850,446,404
"02570  Siuntio Kirkonkylä (Siuntio)",1285,675,610
"02580  Siuntio Asemanseutu (Siuntio)",3435,1685,1750
"02590  Lappers (Siuntio)",247,132,115
"02600  Etelä-Leppävaara (Espoo)",11901,5918,5983
"02610  Kilo (Espoo)",6589,3362,3227
"02620  Karakallio (Espoo)",8401,4068,4333
"02630  Nihtisilta (Espoo)",3444,1726,1718
"02650  Pohjois-Leppävaara (Espoo)",10829,5374,5455
"02660  Lintuvaara (Espoo)",6165,3182,2983
"02680  Uusmäki (Espoo)",2871,1395,1476
"02700  Kauniainen (Kauniainen)",9484,4555,4929
"02710  Viherlaakso (Espoo)",5929,2869,3060
"02720  Lähderanta (Espoo)",2996,1478,1518
"02730  Jupperi (Espoo)",4613,2307,2306
"02740  Bemböle-Pakankylä (Espoo)",3298,1611,1687
"02750  Sepänkylä-Kuurinniitty (Espoo)",6486,3265,3221
"02760  Tuomarila-Suvela (Espoo)",14422,7097,7325
"02770  Espoon Keskus (Espoo)",10706,5317,5389
"02780  Kauklahti (Espoo)",11153,5568,5585
"02810  Gumböle-Karhusuo (Espoo)",1785,910,875
"02820  Nupuri-Nuuksio (Espoo)",1517,775,742
"02860  Siikajärvi (Espoo)",623,312,311
"02880  Veikkola (Kirkkonummi)",5781,2899,2882
"02920  Niipperi (Espoo)",5577,2810,2767
"02940  Lippajärvi-Järvenperä (Espoo)",10308,5108,5200
"02970  Kalajärvi (Espoo)",3824,1961,1863
"02980  Lakisto (Espoo)",325,167,158
"03100  Nummela (Vihti)",15609,7589,8020
"03150  Huhmari (Vihti)",766,387,379
"03220  Tervalampi (Vihti)",582,293,289
"03250  Ojakkala (Vihti)",1919,990,929
"03300  Otalampi (Vihti)",2374,1236,1138
"03320  Selki (Vihti)",340,172,168
"03400  Vihti Kirkonkylä (Vihti)",6369,3196,3173
"03430  Jokikunta (Vihti)",538,293,245
"03600  Karkkila Keskus (Karkkila)",6419,3134,3285
"03620  Polari (Karkkila)",2118,1081,1037
"03710  Uusitalo (Karkkila)",195,97,98
"03790  Vihtijärvi (Vihti)",513,255,258
"03810  Ikkala (Lohja)",579,293,286
"03850  Pusula (Lohja)",1612,795,817
"03870  Hyönölä (Lohja)",187,97,90
"04130  Sipoo (Sipoo)",7503,3669,3834
"04150  Martinkylä (Sipoo)",633,342,291
"04170  Paippinen (Sipoo)",1288,649,639
"04200  Kerava Keskus (Kerava)",11658,5482,6176
"04220  Ahjo-Kaskela (Kerava)",5255,2662,2593
"04230  Pihkaniitty (Kerava)",7652,3779,3873
"04240  Talma (Sipoo)",1222,626,596
"04250  Alikerava (Kerava)",4990,2479,2511
"04260  Savio (Kerava)",6403,3201,3202
"04300  Hyrylä (Tuusula)",10303,5050,5253
"04310  Tuusula Keskus (Tuusula)",2592,1237,1355
"04320  Riihikallio (Tuusula)",5022,2499,2523
"04330  Lahela (Tuusula)",2316,1151,1165
"04340  Mattila (Tuusula)",2177,1109,1068
"04350  Nahkela (Tuusula)",504,269,235
"04360  Ruotsinkylä-Kiilinmäki (Tuusula)",1215,650,565
"04370  Rusutjärvi (Tuusula)",746,383,363
"04380  Tuomala (Tuusula)",599,300,299
"04390  Jäniksenlinna (Tuusula)",459,246,213
"04400  Loutti (Järvenpää)",10454,4928,5526
"04410  Järvenpää Keskus (Järvenpää)",11311,5400,5911
"04420  Kyrölä (Järvenpää)",3965,1919,2046
"04430  Kinnari-Mikonkorpi (Järvenpää)",9252,4504,4748
"04440  Jamppa (Järvenpää)",4614,2388,2226
"04460  Nummenkylä (Järvenpää)",1958,1015,943
"04480  Haarajoki (Mäntsälä)",2417,1244,1173
"04500  Kellokoski (Tuusula)",6039,3021,3018
"04530  Ohkola (Mäntsälä)",913,469,444
"04600  Mäntsälä Keskus (Mäntsälä)",9321,4449,4872
"04620  Kaunismäki (Mäntsälä)",2104,1056,1048
"04630  Sääksjärvi (Mäntsälä)",868,452,416
"04660  Numminen (Mäntsälä)",1652,849,803
"04680  Hirvihaara (Mäntsälä)",661,337,324
"04740  Sälinkää (Mäntsälä)",1140,587,553
"04770  Sahakylä (Mäntsälä)",213,116,97
"04820  Kaukalampi (Mäntsälä)",310,161,149
"04840  Hautjärvi (Mäntsälä)",229,110,119
"04920  Saarentaus (Mäntsälä)",336,173,163
"04940  Levanto (Mäntsälä)",290,138,152
"05100  Röykkä (Nurmijärvi)",2211,1124,1087
"05200  Rajamäki (Nurmijärvi)",6942,3491,3451
"05250  Kiljava (Nurmijärvi)",172,79,93
"05400  Jokela (Tuusula)",6536,3272,3264
"05430  Nuppulinna (Tuusula)",994,503,491
"05440  Hyvinkää (Hyvinkää)",816,411,405
"05450  Nukari (Nurmijärvi)",1052,540,512
"05460  Hakalanmäki-Hakala (Hyvinkää)",3241,1577,1664
"05470  Palopuro (Hyvinkää)",324,171,153
"05510  Päivärinta (Hyvinkää)",441,233,208
"05620  Noppo (Hyvinkää)",1281,667,614
"05720  Kytäjä (Hyvinkää)",562,287,275
"05800  Hyvinkää Keskus (Hyvinkää)",9638,4413,5225
"05810  Martti (Hyvinkää)",5790,2850,2940
"05820  Mustamännistö (Hyvinkää)",5119,2630,2489
"05830  Kirjavatolppa-Kruununpuisto (Hyvinkää)",6998,3405,3593
"05840  Hyvinkäänkylä-Vehkoja (Hyvinkää)",3660,1851,1809
"05850  Hyvinkää, sairaala-alue (Hyvinkää)",0,0,0
"05860  Talvisilta (Hyvinkää)",1381,714,667
"05880  Paavola-Vaivero (Hyvinkää)",3364,1638,1726
"05900  Vieremä (Hyvinkää)",3924,1829,2095
"05950  Ridasjärvi (Hyvinkää)",378,204,174
"06100  Porvoo Keskus (Porvoo)",18684,8716,9968
"06150  Kevätkumpu (Porvoo)",6028,2932,3096
"06200  Porvoo itäinen (Porvoo)",2546,1321,1225
"06400  Gammelbacka (Porvoo)",7377,3663,3714
"06450  Eestinmäki-Ernestas (Porvoo)",2016,995,1021
"06500  Saksala-Suomenkylä (Porvoo)",2099,1090,1009
"06530  Kerkkoo (Porvoo)",781,397,384
"06650  Hamari (Porvoo)",1424,749,675
"06750  Tolkkinen (Porvoo)",1803,923,880
"06830  Kulloonkylä (Porvoo)",1060,529,531
"06850  Kulloo (Porvoo)",20,...,...
"06880  Kärrby (Sipoo)",338,182,156
"06950  Emäsalo (Porvoo)",372,186,186
"07110  Hinthaara (Porvoo)",1530,784,746
"07130  Anttila (Porvoo)",655,330,325
"07150  Laukkoski (Pornainen)",1008,520,488
"07170  Keski-Pornainen (Pornainen)",2476,1230,1246
"07190  Halkia (Pornainen)",1412,717,695
"07220  Kaarenkylä (Porvoo)",299,155,144
"07230  Askola (Askola)",1612,798,814
"07280  Ilola (Porvoo)",914,470,444
"07310  Sannainen (Porvoo)",418,218,200
"07320  Jakari-Sannäs (Porvoo)",456,234,222
"07350  Gäddrag (Porvoo)",72,39,33
"07360  Tirmo (Porvoo)",36,22,14
"07370  Pellinki (Porvoo)",136,67,69
"07390  Suurpellinki (Porvoo)",114,65,49
"07410  Kråkö (Porvoo)",311,151,160
"07450  Voolahti (Porvoo)",413,201,212
"07500  Askola Kirkonkylä (Askola)",1139,554,585
"07510  Askola (Askola)",659,348,311
"07530  Askola (Askola)",277,143,134
"07550  Torpinkylä (Pukkila)",297,155,142
"07560  Pukkila Keskus (Pukkila)",1308,660,648
"07565  Kantele (Pukkila)",246,133,113
"07580  Askola (Askola)",78,40,38
"07590  Askola (Askola)",622,321,301
"07600  Myrskylä Keskus (Myrskylä)",1666,809,857
"07680  Askola (Askola)",522,287,235
"07690  Kankkila (Myrskylä)",131,67,64
"07700  Koskenkylän saha-alue (Loviisa)",1178,589,589
"07720  Malmgård (Loviisa)",74,39,35
"07740  Gammelby (Loviisa)",412,221,191
"07750  Isnäs (Loviisa)",532,277,255
"07780  Härkäpää (Loviisa)",166,88,78
"07800  Lapinjärvi Keskus (Lapinjärvi)",872,401,471
"07810  Ingermaninkylä (Lapinjärvi)",273,145,128
"07820  Porlammi (Lapinjärvi)",476,237,239
"07830  Pukaro (Lapinjärvi)",269,146,123
"07840  Lindkoski (Lapinjärvi)",199,100,99
"07850  Heikinkylä (Lapinjärvi)",308,166,142
"07870  Skinnarby (Loviisa)",409,208,201
"07880  Liljendal Keskus (Loviisa)",1021,510,511
"07890  Mickelspiltom (Loviisa)",191,93,98
"07900  Loviisa Keskus (Loviisa)",4040,1862,2178
"07910  Valko (Loviisa)",1077,582,495
"07920  Etelä-Harju (Loviisa)",1399,728,671
"07930  Pernaja Kirkonkylä (Loviisa)",635,334,301
"07940  Määrlahti (Loviisa)",980,497,483
"07945  Kuggom (Loviisa)",467,237,230
"07955  Tesjoki (Loviisa)",1176,600,576
"07960  Ahvenkoski (Loviisa)",122,65,57
"07970  Ruotsinpyhtää Keskus (Loviisa)",533,277,256
"07980  Kuninkaankylä (Loviisa)",284,150,134
"07990  Ruotsinkylä-Koskisto (Loviisa)",278,146,132
"08100  Lohja Keskus (Lohja)",7834,3575,4259
"08150  Keskilohja (Lohja)",5265,2636,2629
"08200  Ojamo (Lohja)",3756,1750,2006
"08350  Routio (Lohja)",2240,1145,1095
"08360  Kisakallio (Lohja)",1,...,...
"08450  Hormajärvi (Lohja)",281,139,142
"08480  Karstu (Lohja)",259,129,130
"08500  Ventelä-Millola (Lohja)",6425,3201,3224
"08680  Muijala (Lohja)",1757,894,863
"08700  Virkkala (Lohja)",7476,3741,3735
"08800  Kirkniemi (Lohja)",1561,813,748
"09120  Karjalohja (Lohja)",1202,589,613
"09220  Sammatti (Lohja)",1620,806,814
"09430  Saukkola (Lohja)",1652,831,821
"09520  Millola (Lohja)",132,70,62
"09630  Koisjärvi (Lohja)",479,260,219
"09810  Nummi-Oinola (Lohja)",977,496,481
"09930  Leppäkorpi (Lohja)",299,147,152
"10120  Tähtelä (Ingå)",601,305,296
"10140  Päivölä (Ingå)",298,147,151
"10160  Degerby (Ingå)",881,460,421
"10210  Inkoo Keskus (Ingå)",2742,1312,1430
"10230  Inkoo Asemanseutu (Ingå)",367,189,178
"10250  Fagervik (Ingå)",131,74,57
"10270  Barösund (Ingå)",133,77,56
"10300  Karjaa Keskus (Raasepori)",7278,3547,3731
"10320  Bäljars (Raasepori)",1286,650,636
"10330  Pinjainen (Raasepori)",605,294,311
"10350  Meltolan sairaala-alue (Raasepori)",13,...,...
"10360  Mustio (Raasepori)",1267,668,599
"10380  Kaunislahti (Raasepori)",110,61,49
"10410  Åminnefors (Raasepori)",343,189,154
"10420  Pohjankuru (Raasepori)",1736,876,860
"10440  Bollsta (Raasepori)",327,159,168
"10470  Fiskari (Raasepori)",540,269,271
"10480  Antskog (Raasepori)",117,61,56
"10520  Tenhola Kirkonkylä (Raasepori)",1713,846,867
"10570  Bromarv (Raasepori)",459,234,225
"10600  Tammisaari Keskus (Raasepori)",4846,2274,2572
"10620  Tammisaari (Raasepori)",1867,962,905
"10640  Dragsvik (Raasepori)",924,444,480
"10650  Flyet (Raasepori)",2662,1267,1395
"10660  Trollböle (Raasepori)",831,444,387
"10680  Skogby (Raasepori)",197,98,99
"10710  Snappertuna (Raasepori)",368,192,176
"10820  Lappohja (Hanko)",553,294,259
"10900  Hanko Keskus (Hanko)",4010,1959,2051
"10940  Hangonkylä (Hanko)",2021,1009,1012
"10960  Hanko Pohjoinen (Hanko)",1735,874,861
"11100  Riihimäki Keskus (Riihimäki)",6479,3062,3417
"11120  Pohjois-Riihimäki (Riihimäki)",6859,3459,3400
"11130  Peltosaari-Patastenmäki (Riihimäki)",9702,4792,4910
"11310  Taka-Kasarmi (Riihimäki)",738,370,368
"11710  Herajoki (Riihimäki)",3056,1582,1474
"11910  Lasi-Kumela (Janakkala)",2396,1220,1176
"12100  Oitti (Hausjärvi)",2545,1259,1286
"12130  Mommila (Hausjärvi)",303,161,142
"12170  Hietoinen (Hausjärvi)",212,114,98
"12210  Hausjärvi kk (Hausjärvi)",228,116,112
"12240  Hikiä (Hausjärvi)",1654,854,800
"12310  Ryttylä (Hausjärvi)",1812,918,894
"12350  Turkhauta (Hausjärvi)",431,230,201
"12380  Leppäkoski (Janakkala)",520,281,239
"12400  Tervakoski (Janakkala)",4574,2314,2260
"12450  Vähikkälä (Janakkala)",272,148,124
"12520  Kormu (Loppi)",482,243,239
"12540  Launonen (Loppi)",1556,798,758
"12600  Läyliäinen (Loppi)",1771,945,826
"12630  Sajaniemi (Loppi)",289,151,138
"12640  Joentaka (Loppi)",313,172,141
"12700  Loppi kk (Loppi)",2227,1085,1142
"12750  Pilpala (Loppi)",507,267,240
"12820  Räyskälä (Loppi)",50,28,22
"12920  Topeno (Loppi)",366,197,169
"12950  Vojakkala-Eerolankulma (Loppi)",163,94,69
"13100  Hämeenlinna Keskus (Hämeenlinna)",11271,5196,6075
"13110  Kantola (Hämeenlinna)",182,112,70
"13130  Kauriala (Hämeenlinna)",6067,2805,3262
"13200  Keinusaari (Hämeenlinna)",1640,709,931
"13210  Hätilä (Hämeenlinna)",8119,3853,4266
"13220  Sairio (Hämeenlinna)",1802,919,883
"13250  Katuma (Hämeenlinna)",1018,518,500
"13270  Ruununmylly (Hämeenlinna)",1721,871,850
"13300  Käikälä (Hämeenlinna)",2817,1409,1408
"13330  Harviala (Janakkala)",824,419,405
"13430  Hattelmala (Hämeenlinna)",1173,598,575
"13500  Jukola (Hämeenlinna)",11770,5693,6077
"13530  Hämeenlinna sairaala-alue (Hämeenlinna)",2,...,...
"13600  Ojoinen (Hämeenlinna)",3682,1786,1896
"13700  Parolannummi (Hattula)",407,209,198
"13720  Parola (Hattula)",4467,2225,2242
"13800  Katinala (Hattula)",1312,649,663
"13880  Rahkoila (Hattula)",1204,612,592
"13900  Pekola (Hattula)",877,457,420
"14140  Jokimaa (Janakkala)",191,100,91
"14200  Turenki (Janakkala)",8661,4279,4382
"14240  Väli-Janakkala (Janakkala)",880,475,405
"14300  Renko kk (Hämeenlinna)",2203,1119,1084
"14430  Vuohiniemi (Hattula)",65,33,32
"14450  Rimmilä (Hämeenlinna)",125,63,62
"14500  Iittala (Hämeenlinna)",3257,1630,1627
"14530  Leteensuo (Hattula)",225,130,95
"14610  Lepaa (Hattula)",391,198,193
"14620  Tyrväntö (Hattula)",151,80,71
"14680  Alvettula (Hämeenlinna)",583,291,292
"14690  Torvoila (Hämeenlinna)",164,93,71
"14700  Hauho kk (Hämeenlinna)",1870,909,961
"14770  Eteläinen (Hämeenlinna)",924,471,453
"14810  Pohjoinen (Hämeenlinna)",281,147,134
"14820  Syrjäntaka (Hämeenlinna)",827,423,404
"14840  Sairiala (Hämeenlinna)",225,113,112
"14870  Juttila (Hämeenlinna)",226,111,115
"14930  Sappee (Hämeenlinna)",100,53,47
"14960  Puutikkala (Pälkäne)",77,39,38
"14980  Kuohijoki (Pälkäne)",43,25,18
"15100  Lahti Asemanseutu (Lahti)",6494,2875,3619
"15110  Keski-Lahti (Lahti)",5157,2272,2885
"15140  Kartano-Paavola (Lahti)",15247,6728,8519
"15150  Möysä (Lahti)",4402,2104,2298
"15160  Kolava (Lahti)",2654,1347,1307
"15170  Tenava-Tonttila (Lahti)",3770,1799,1971
"15200  Kiveriö (Lahti)",3436,1707,1729
"15210  Kivistönmäki (Lahti)",4449,2166,2283
"15230  Kytölä (Lahti)",2775,1406,1369
"15240  Mukkula (Lahti)",7800,3643,4157
"15270  Kukkila (Hollola)",1813,919,894
"15300  Myllypohja-Koiskala (Lahti)",4139,2097,2042
"15320  Ahtiala (Lahti)",3051,1556,1495
"15340  Kunnas-Hiekkanummi (Lahti)",2777,1452,1325
"15460  Mäkelä (Lahti)",555,284,271
"15500  Liipola (Lahti)",4977,2348,2629
"15520  Saksala (Lahti)",2201,1045,1156
"15540  Villähde (Lahti)",4463,2293,2170
"15550  Rakokivi (Lahti)",3575,1763,1812
"15560  Nastola kk (Lahti)",3987,1980,2007
"15580  Ruuhijärvi (Lahti)",222,122,100
"15610  Laune-Nikkilä (Lahti)",5423,2781,2642
"15680  Renkomäki-Ämmälä (Lahti)",3267,1684,1583
"15700  Hennala-Jokimaa (Hollola)",6910,3447,3463
"15800  Kärpänen (Lahti)",3379,1737,1642
"15810  Kasakkamäki (Lahti)",1424,717,707
"15820  Okeroinen (Hollola)",1078,565,513
"15830  Metsäkangas (Lahti)",3712,1750,1962
"15840  Riihelä (Lahti)",2037,987,1050
"15850  Likolampi (Lahti)",638,338,300
"15860  Kartano (Hollola)",3494,1674,1820
"15870  Salpakangas (Hollola)",4115,1817,2298
"15880  Soramäki (Hollola)",4632,2339,2293
"15900  Jalkaranta (Lahti)",1703,799,904
"15950  Kiikkula (Lahti)",3768,1733,2035
"15980  Messilä (Hollola)",0,0,0
"16100  Uusikylä (Lahti)",1344,715,629
"16160  Okkeri (Lahti)",100,54,46
"16200  Artjärvi Keskus (Orimattila)",659,333,326
"16230  Artjärvi Kirkonkylä (Orimattila)",315,163,152
"16260  Hietana (Orimattila)",172,88,84
"16270  Villikkala (Orimattila)",137,70,67
"16280  Kuivanto (Orimattila)",577,304,273
"16300  Orimattila Keskus (Orimattila)",10513,5125,5388
"16310  Virenoja (Orimattila)",663,341,322
"16320  Pennala (Orimattila)",1123,600,523
"16330  Heinämaa (Orimattila)",336,179,157
"16350  Niinikoski (Orimattila)",324,159,165
"16390  Pakaa (Orimattila)",276,142,134
"16450  Mallusjoki (Orimattila)",425,233,192
"16500  Herrala (Hollola)",891,457,434
"16510  Luhtikylä (Orimattila)",419,230,189
"16540  Mertie (Kärkölä)",285,151,134
"16600  Järvelä (Kärkölä)",2878,1420,1458
"16610  Kärkölä kk (Kärkölä)",689,351,338
"16630  Tennilä (Hollola)",328,162,166
"16670  Lappila (Kärkölä)",596,325,271
"16710  Hollola kk (Hollola)",1011,488,523
"16730  Kutajärvi (Hollola)",997,518,479
"16790  Manskivi (Hollola)",100,45,55
"16800  Hämeenkoski (Hollola)",1993,981,1012
