Sukunimi,Nimenhaltijoita yhteensä
Koivumäki,"1,594"
Ryhänen,"1,589"
Tuomaala,"1,585"
Kuitunen,"1,578"
Kivioja,"1,575"
Piispanen,"1,574"
Ahtiainen,"1,564"
Lindeman,"1,561"
Lintunen,"1,558"
Tuomela,"1,558"
Ketonen,"1,557"
Sundqvist,"1,547"
Happonen,"1,543"
Tyni,"1,543"
Valtanen,"1,543"
Hellsten,"1,534"
Pietiläinen,"1,534"
Hovi,"1,531"
Siekkinen,"1,527"
Vesala,"1,520"
Tuhkanen,"1,519"
Siltanen,"1,516"
Hakola,"1,509"
Sivula,"1,507"
Nyyssönen,"1,506"
Kataja,"1,500"
Poutanen,"1,497"
Rämö,"1,496"
Hakulinen,"1,490"
Päivärinta,"1,490"
Kuusinen,"1,488"
Toikka,"1,486"
Kangasniemi,"1,485"
Haapalainen,"1,483"
Hellman,"1,480"
Mäntynen,"1,478"
Peltomäki,"1,472"
Vänskä,"1,471"
Montonen,"1,469"
Turtiainen,"1,469"
Pellinen,"1,468"
Honkonen,"1,463"
Piipponen,"1,463"
Vaittinen,"1,463"
Wallenius,"1,461"
Kuivalainen,"1,459"
Mohamed,"1,455"
Torvinen,"1,455"
Pettersson,"1,454"
Stenberg,"1,454"
Mykkänen,"1,453"
Valli,"1,453"
Salin,"1,451"
Jalkanen,"1,445"
Parkkonen,"1,441"
Piippo,"1,439"
Sandström,"1,439"
Kuittinen,"1,433"
Lindén,"1,433"
Kuikka,"1,430"
Syrjänen,"1,429"
Räihä,"1,428"
Talvitie,"1,423"
Jäppinen,"1,422"
Sippola,"1,422"
Kärnä,"1,418"
Grönholm,"1,417"
Soikkeli,"1,416"
Hallikainen,"1,415"
Utriainen,"1,415"
Kuparinen,"1,414"
Nikkilä,"1,413"
Sjöberg,"1,412"
Herranen,"1,406"
Palosaari,"1,405"
Nguyen,"1,400"
Iivonen,"1,398"
Nikkinen,"1,398"
Pursiainen,"1,398"
Hynynen,"1,394"
Lönnqvist,"1,394"
Jaakola,"1,391"
Mähönen,"1,384"
Orava,"1,384"
Raunio,"1,381"
Männikkö,"1,380"
Ojanperä,"1,375"
Lamberg,"1,374"
Pulli,"1,374"
Suni,"1,374"
Pellikka,"1,373"
Rahkonen,"1,373"
Puumalainen,"1,372"
Tuomola,"1,364"
Nordlund,"1,362"
Annala,"1,361"
Vatanen,"1,361"
Putkonen,"1,359"
Sairanen,"1,358"
Savela,"1,357"
Katajamäki,"1,355"
Kekäläinen,"1,355"
Vuorenmaa,"1,355"
Reijonen,"1,354"
Kakko,"1,352"
Vehviläinen,"1,350"
Niskala,"1,349"
Peltomaa,"1,346"
Lappi,"1,345"
Öhman,"1,345"
Saikkonen,"1,344"
Pynnönen,"1,343"
Numminen,"1,342"
Kankkunen,"1,341"
Olkkonen,"1,339"
Salovaara,"1,339"
Naukkarinen,"1,338"
Kaunisto,"1,337"
Hukkanen,"1,336"
Leivo,"1,336"
Viljakainen,"1,336"
Juutilainen,"1,335"
Tynkkynen,"1,335"
Kervinen,"1,334"
Kukkola,"1,333"
Vauhkonen,"1,333"
Kaukonen,"1,332"
Pohjonen,"1,332"
Sundberg,"1,328"
Ali,"1,327"
Isotalo,"1,326"
Sipola,"1,326"
Manner,"1,323"
Heimonen,"1,320"
Ervasti,"1,317"
Nordman,"1,316"
Jämsä,"1,313"
Nissilä,"1,313"
Väätäinen,"1,310"
Virkkunen,"1,309"
Haikonen,"1,304"
Suokas,"1,304"
Huhta,"1,301"
Oja,"1,301"
Kurvinen,"1,298"
Pihlajamäki,"1,296"
Siltala,"1,294"
Wallin,"1,291"
Lähde,"1,288"
Palmu,"1,288"
Mutanen,"1,284"
Kaipainen,"1,283"
Lintula,"1,282"
Mäkeläinen,"1,282"
Kohonen,"1,279"
Malmberg,"1,277"
Reponen,"1,277"
Holma,"1,276"
Pihlaja,"1,275"
Vikman,"1,275"
Roos,"1,273"
Pylkkänen,"1,271"
Vainikka,"1,271"
Poutiainen,"1,269"
Päivinen,"1,269"
Kilpinen,"1,268"
Huhtanen,"1,266"
Mannila,"1,265"
Ovaskainen,"1,264"
Haanpää,"1,262"
Vanhatalo,"1,262"
Hurskainen,"1,260"
Elomaa,"1,256"
Kovalainen,"1,256"
Ovaska,"1,256"
Säkkinen,"1,251"
Rouhiainen,"1,250"
Lindell,"1,248"
Blom,"1,246"
Kupiainen,"1,246"
Suuronen,"1,241"
Perttula,"1,240"
Söderholm,"1,240"
Mielonen,"1,237"
Murto,"1,237"
Kuoppala,"1,236"
Jokelainen,"1,233"
Kumpula,"1,233"
Raitanen,"1,230"
Viinikainen,"1,230"
Vainikainen,"1,229"
Haapakoski,"1,228"
Klemetti,"1,228"
Fagerström,"1,225"
Himanen,"1,223"
Kiviranta,"1,222"
Kivi,"1,216"
Pietarinen,"1,214"
Hintikka,"1,213"
Tarkiainen,"1,213"
Ek,"1,210"
Liikanen,"1,206"
Janhunen,"1,205"
Rekola,"1,203"
Tuononen,"1,202"
Haapamäki,"1,201"
Ruokonen,"1,201"
Lundberg,"1,200"
Saarenpää,"1,195"
Rantamäki,"1,189"
Ratilainen,"1,189"
Siivonen,"1,187"
Veijalainen,"1,187"
Bergström,"1,186"
Leskelä,"1,184"
Parikka,"1,179"
Julkunen,"1,178"
Marjamäki,"1,177"
Kirjavainen,"1,174"
Sarkkinen,"1,173"
Sundell,"1,173"
Gröhn,"1,172"
Laatikainen,"1,171"
Ripatti,"1,169"
Rahikainen,"1,166"
Ahmed,"1,165"
Granlund,"1,165"
Nikander,"1,165"
Saario,"1,165"
Ström,"1,164"
Jalava,"1,162"
Kannisto,"1,159"
Junnila,"1,157"
Saarikoski,"1,157"
Raappana,"1,156"
Tanninen,"1,155"
Vesa,"1,155"
Varjonen,"1,154"
Palo,"1,152"
Vänttinen,"1,146"
Pentikäinen,"1,144"
Reunanen,"1,143"
Westerholm,"1,140"
Hongisto,"1,139"
Granholm,"1,138"
Kemppi,"1,137"
Myllynen,"1,136"
Juhola,"1,135"
Kauranen,"1,134"
Kekki,"1,134"
Peura,"1,133"
Rautanen,"1,133"
Vaara,"1,133"
Paasonen,"1,132"
Kesti,"1,131"
Nisula,"1,129"
Blomberg,"1,128"
Äijälä,"1,127"
Loikkanen,"1,125"
Martin,"1,125"
Hulkkonen,"1,123"
Lyytinen,"1,123"
Maijala,"1,123"
Häggblom,"1,121"
Ilomäki,"1,120"
Heinänen,"1,117"
Okkonen,"1,117"
Kunnari,"1,116"
Sarajärvi,"1,109"
Oksa,"1,107"
Lampela,"1,104"
Niinimäki,"1,102"
Ahlgren,"1,101"
Jutila,"1,099"
Majuri,"1,096"
Lukkari,"1,092"
Forsberg,"1,089"
Ristimäki,"1,089"
Rosenberg,"1,089"
Åkerlund,"1,089"
Åberg,"1,087"
Takkinen,"1,085"
Vilén,"1,085"
Sjöholm,"1,084"
Östman,"1,084"
Kolari,"1,081"
Kontkanen,"1,079"
Katainen,"1,078"
Lamminen,"1,078"
Kytölä,"1,075"
Forss,"1,074"
Pollari,"1,069"
Vornanen,"1,069"
Ropponen,"1,068"
Tölli,"1,068"
Tuppurainen,"1,066"
Söderström,"1,065"
Korkiakoski,"1,063"
Roininen,"1,063"
Heikura,"1,060"
Lundström,"1,059"
Knuutila,"1,057"
Bäckman,"1,056"
Metso,"1,052"
Tissari,"1,048"
Hirvelä,"1,046"
Arvola,"1,042"
Mäkipää,"1,042"
Hietamäki,"1,041"
Markkula,"1,040"
Ijäs,"1,039"
Kela,"1,038"
Tiitinen,"1,038"
Weckström,"1,038"
Vikström,"1,037"
Hedman,"1,036"
Lempiäinen,"1,035"
Sorvari,"1,035"
Aronen,"1,034"
Uutela,"1,030"
Österberg,"1,027"
Kaasinen,"1,025"
Kemppinen,"1,025"
Puurunen,"1,025"
Kapanen,"1,023"
Korpinen,"1,020"
Härmä,"1,018"
Malm,"1,018"
Olli,"1,018"
Yrjölä,"1,016"
Juutinen,"1,013"
Saloranta,"1,013"
Pärssinen,"1,009"
Similä,"1,007"
Palm,"1,004"
Björkman,"1,003"
Ekström,"1,003"
Nilsson,"1,002"
Myllykoski,"1,000"
Rusanen,"1,000"
Hujanen,997
Järveläinen,997
Katajisto,997
Strömberg,997
Haarala,995
Kallinen,995
Tuukkanen,995
Porkka,992
Rajaniemi,991
Surakka,991
Nummi,990
Peltokangas,989
Lång,986
Uimonen,986
Luukkanen,985
Roivainen,985
Suorsa,984
Pulliainen,983
Toikkanen,981
Teittinen,980
Salomäki,979
Höglund,973
Sirkiä,973
Rahkola,968
Syrjä,968
Hildén,967
Rannikko,966
Laitala,964
Purhonen,964
Österlund,964
Ylikoski,963
Niva,962
Björk,961
Ikävalko,959
Ilvonen,959
Könönen,958
Kajander,957
Virkki,956
Loponen,955
Nordberg,949
Törmä,949
Kuvaja,948
Siira,948
Suonpää,948
Rönkä,947
Viljamaa,947
Nokelainen,946
Henttonen,944
Koivukangas,944
Enqvist,943
Kasurinen,943
Kurkela,943
Siponen,941
Kaasalainen,940
Mönkkönen,940
Palviainen,940
Karppanen,936
Kallioniemi,935
Nummelin,934
Dahl,933
Hintsala,933
Kröger,933
Käyhkö,933
Stenman,932
Lindblom,931
Pusa,931
Backlund,929
Hietikko,929
Kulju,928
Koskelainen,927
Toropainen,927
Hellström,925
Juuti,925
Terho,925
Asplund,924
Häyrinen,923
Liimatta,922
Metsälä,922
Romppainen,922
Kaski,918
Isomäki,916
Kopra,916
Oksman,916
Perkiö,916
Naumanen,914
Pöntinen,914
Palokangas,913
Klemola,912
Malin,910
Rouvinen,910
Heikkonen,908
Pöyry,907
Arponen,905
Knuuttila,903
Lievonen,901
Mehtälä,900
Mantere,899
Back,897
Granqvist,896
Toiviainen,894
Puolakka,893
Siren,893
Vesanen,893
Pajula,890
Parkkila,889
Haakana,888
Lund,888
Ruokolainen,884
Sandell,884
Kanniainen,881
Laasonen,881
Norrgård,880
Paldanius,878
Koskelo,877
Luomala,877
Mäkynen,877
Ukkola,877
Pyykönen,876
Silander,876
Kankare,875
Miettunen,875
Myllyniemi,875
Isaksson,874
Jurvanen,874
Lahtela,873
Riekki,873
Lohi,872
Isoaho,870
Luokkanen,870
Räikkönen,870
Boman,867
Hyyryläinen,867
Suikkanen,866
Hassan,864
Huovila,864
Ahlqvist,863
Berglund,863
Halinen,863
Herrala,863
Pajari,863
Smeds,862
Sorjonen,862
Kotiranta,860
Vierimaa,860
Ohtonen,857
Palola,857
Paaso,856
Tran,855
Sironen,854
Lahdenperä,852
Ristola,852
Tuomikoski,852
Haapasalo,849
Stenroos,849
Takalo,849
Särkkä,847
Vihavainen,845
Pernu,844
Riekkinen,844
Tammela,844
Kurtti,841
Poikonen,840
Vähäkangas,840
Lauronen,839
Lehtomäki,839
Viskari,838
Kallioinen,837
Rinkinen,837
Flink,836
Kurkinen,836
Malmi,836
Savola,835
Huuhtanen,834
Korkalainen,834
Niemistö,834
Myller,832
Hagman,831
Knuutinen,831
Myyryläinen,830
Laurikainen,829
Rask,829
Launonen,828
Möttönen,828
Raivio,828
Hinkkanen,827
Schroderus,827
Vaarala,827
Valo,827
Koikkalainen,826
Kinnari,825
Helle,823
Pakkala,823
Pentti,821
Saaristo,820
Viinikka,819
Engström,817
Kujansuu,816
Oinas,816
Vahtera,816
Fredriksson,811
Ristolainen,811
Ruusunen,808
Kojo,807
Tikkala,807
Brandt,806
Wiik,806
Paloniemi,805
Haatainen,804
Husu,803
Kostiainen,800
Tuunanen,800
Aikio,799
Hyppönen,798
Kantonen,798
Myllykangas,798
Reiman,798
Bäckström,796
Lepola,796
Jakobsson,795
Mertanen,794
Taskila,792
Ilola,790
Lampi,788
Kankainen,787
Forsell,786
Kallunki,786
Rosendahl,785
Rosenqvist,785
Ruhanen,785
Korkala,784
Bäck,783
Lähdesmäki,783
Ahvenainen,782
Havukainen,782
Vento,782
Hölttä,781
Pölönen,780
Rutanen,780
Keto,779
Pohjolainen,779
Pullinen,779
Pussinen,779
Hagert,775
Lötjönen,775
Taavitsainen,775
Kunnas,774
Hakamäki,773
Laukka,772
Suojanen,772
Hakonen,771
Koivuranta,771
Nivala,771
Pohjalainen,771
Maunula,770
Puska,770
Varonen,770
Grönberg,769
Tanner,769
Sorri,767
Tuisku,766
Kurikka,765
Rantalainen,765
Järvensivu,764
Uitto,764
Illikainen,763
Reinikka,763
Huhtamäki,761
Tapaninen,761
Sievänen,759
Riipinen,757
Fagerlund,756
Myöhänen,756
Valjakka,755
Visuri,754
Kantanen,753
Karhula,753
Rainio,753
Saarnio,753
Rastas,752
Tammisto,752
Mehtonen,751
Torniainen,751
Kiljunen,750
Pesola,750
Ahlfors,749
Poikela,749
Tuohimaa,749
Korkeamäki,748
Grönqvist,747
Pekkola,746
Olin,745
Pekonen,745
Vesalainen,744
Muikku,742
Muukkonen,742
Julin,741
Roine,741
Käkelä,740
Viita,739
Lindstedt,737
Jormanainen,736
Ylimäki,736
Fagerholm,735
Koivistoinen,735
Kostamo,735
Vehmas,735
Juopperi,732
Nyqvist,732
Dahlström,731
Luhtala,731
Peippo,731
Särkelä,731
Eerikäinen,730
Issakainen,729
Österman,729
Finnilä,728
Kiviharju,727
Äikäs,726
Niittymäki,723
Saarikko,722
Marin,721
Tiittanen,721
Lipsanen,720
Piiparinen,720
Engblom,719
Malmström,718
Kvist,717
Leminen,717
Kaskinen,715
Korte,715
Valta,714
Sipiläinen,713
Sihvola,712
Hautaniemi,711
Kuutti,711
Levänen,711
Törrönen,711
Forsblom,710
Kuula,710
Rasi,710
Grönfors,709
Litmanen,709
Vilenius,709
Lumme,708
Pajala,708
Pihlajaniemi,708
Teräväinen,708
Boström,707
Paju,707
Koskimäki,705
Kymäläinen,704
Raita,704
Takanen,704
Långström,703
Rämä,702
Nupponen,701
Hyrkäs,700
Mantila,700
Willman,700
Kilponen,699
Luotonen,699
Laurén,698
Löppönen,698
Haaranen,697
Kylliäinen,697
Poikolainen,695
Jokitalo,693
Jokiniemi,692
Sepponen,692
Valkeapää,692
Multanen,691
Pääkkö,691
Tammelin,691
Turkki,690
Vilkman,690
Sopanen,687
Puisto,686
Sundman,686
Konttila,685
Tainio,685
Ikola,684
Turkia,684
Englund,683
Metsola,683
Roth,683
Vuoristo,683
Viinamäki,682
Korva,681
Kupari,681
Hautanen,680
Lundell,679
Luttinen,679
Asp,676
Lajunen,676
Paakkunainen,675
Jeskanen,674
Gröndahl,673
Sihvo,673
Talja,673
Borg,672
Harinen,671
Saarimaa,671
Lehtiniemi,670
Nylander,670
Elonen,669
Hagström,669
Smolander,668
Falck,667
Martiskainen,667
Santanen,667
Mannonen,666
Weckman,666
Töyrylä,665
Puro,664
Tirronen,664
Juola,663
Hartikka,662
Posti,662
Skog,662
Joki,661
Keinonen,661
Karonen,660
Pesu,660
Sjölund,660
Tonteri,660
Viitaniemi,660
Koli,659
Kolu,659
Nurkkala,659
Nygren,659
Paukkunen,659
Alén,657
Kuha,657
Pelttari,657
